PersonalID	c	r	t
G10499	NAU133	947	962.16	8
G10495	NAU133	1010	1010	9
G10924	NAU136	328	365.72	0
G10690	NAU136	531	528.56	1
G11132	NAU136	696	651.99	2
G11008	NAU136	771	748.72	3
G10636	NAU136	803	829.81	4
G10670	NAU136	868	896.24	5
G10687	NAU136	957	957.4	6
G11081	NAU136	1004	1013.04	8
G10473	NAU136	1067	1067	9
G10921	NAU137	277	312.56	0
G11004	NAU137	478	498.39	3
G10628	NAU137	691	635.41	4
G10606	NAU137	744	732.58	5
G10685	NAU137	833	818.16	6
G10994	NAU137	913	893.49	8
G10945	NAU137	963	963	9
G10934	NAU139	394	395.49	0
G11193	NAU139	588	571.13	1
G11110	NAU139	691	697.29	2
G11239	NAU139	811	795.76	3
G10602	NAU139	878	879.55	4
G10680	NAU139	941	957.42	5
G10639	NAU139	1040	1022.1	7
G10972	NAU139	1090	1080.54	8
G10986	NAU139	1135	1135	9
G10963	NAU144	436	418.93	0
G11176	NAU144	621	602.38	2
G11190	NAU144	749	736.19	3
G11179	NAU144	840	841.72	4
G11189	NAU144	902	923.8	5
G11140	NAU144	969	995.75	7
G11116	NAU144	1062	1062.35	8
G11196	NAU144	1117	1117	9
G11128	NAU146	329	376.16	0
G11152	NAU146	599	566.02	1
G11164	NAU146	739	697.55	2
G11090	NAU146	834	803.45	3
G11097	NAU146	912	896.66	4
G11012	NAU146	951	979.35	5
G11207	NAU146	1055	1055	9
G10922	NAU147	359	351.63	0
G11215	NAU147	491	520.79	1
G11144	NAU147	642	637.14	3
G11108	NAU147	750	732.21	4
G10696	NAU147	811	810.57	5
G10638	NAU147	896	881.46	6
G11292	NAU147	946	946	9
G11199	NAU148	566	452.69	0
G10941	NAU148	792	657.47	1
G11001	NAU148	870	803.74	2
G10600	NAU148	942	910.21	4
G10608	NAU148	1039	1004.25	5
G11229	NAU148	1113	1085.04	6
G10407	NAU148	1169	1158.08	8
G10415	NAU148	1221	1221	9
G11107	NAU149	583	493.64	0
G11137	NAU149	808	723.93	1
G11260	NAU149	879	879.88	2
G11084	NAU149	1026	1004.18	3
G10646	NAU149	1103	1106.9	4
G10650	NAU149	1193	1200.28	5
G10656	NAU149	1294	1283.37	7
G10413	NAU149	1358	1359.25	8
G10469	NAU149	1434	1434	9
G10944	NAU150	305	370.48	0
G11131	NAU150	450	526.87	1
G11224	NAU150	626	642.73	2
G11079	NAU150	724	734.49	3
G10647	NAU150	776	814.17	4
