Feature_id	Mean_decrease_in_accuracy	Standard_deviation
200359	0.000466496097042474	0.000169447730843858
2627856	0.000459437200630966	0.000256182762687456
59566	0.000418208618202766	0.000203378865554513
470441	0.000403412556291202	0.000176271303386938
590169	0.000399938088449637	0.000358765169818689
250288	0.000386796841543351	0.00010141403803663
204955	0.000378867247705759	0.000124214118921114
1101669	0.000376777410532341	0.00021339037387405
399586	0.000376028408409552	9.99907401931269e-05
515747	0.000369557682443603	0.000214787271307184
3291558	0.000357723445503577	0.000284545503097887
878129	0.000350408340850204	0.000148707308511001
561636	0.000340302035790903	0.000381827100220282
255669	0.000338862062662085	0.000216305778333699
968675	0.00032990489711106	0.000255100007911806
31235	0.000325969873361762	0.000411454442984526
70628	0.000316913390905962	0.000195422931740685
471156	0.000312930798138591	0.000228168581472771
974203	0.000311058173062297	0.00022012916322971
73021	0.000305734697346675	0.000230298855535943
92131	0.000297429443766963	0.000344976076934476
573384	0.000292333502142971	0.000130544587958024
162335	0.000285990300256293	0.00025329780600417
470724	0.000274343219034431	0.000156299159949219
571138	0.000255609853795055	0.000221028766936419
215040	0.000244566417205842	0.000138408540695012
937812	0.000238764964063287	0.000194369791915508
461341	0.000238444821028401	8.88270667316355e-05
753872	0.000237542213906903	0.000182043149165467
3350673	0.000236907105004143	0.000332813667517867
571374	0.000235257115979039	0.000207714366531473
32546	0.000233712335962748	7.3168680788767e-05
71791	0.000232588327513856	0.000242434284204855
92636	0.000231421306352875	0.000238080899845193
691088	0.000227886851134252	0.00011094863933522
70671	0.000223608625527208	0.000192508744774245
360229	0.000223533667966754	0.000207061019286147
333028	0.000211544813935104	0.000109658779068616
469479	0.000206467215329537	0.000162308140209975
556297	0.000201521819970221	6.84288212969312e-05
945908	0.000201403802870547	0.000146946651461233
23149	0.000192691942702112	0.000174248711532274
1044611	0.000189802394685588	0.000113395260850028
292364	0.000189504259170079	0.000107922288833343
844940	0.000183534101229239	0.00027365875614599
1032445	0.00018265555708	0.000204659088631343
888511	0.00018001003200043	0.000121939084165968
3827097	0.000179659359349751	0.000142952649892943
12567	0.00017573722523893	0.000162424368034034
470243	0.000169419093440078	9.35767092225389e-05
71387	0.000163096862299923	0.000194032098538247
350105	0.000160761228801739	0.000125610433953255
194597	0.000159357401471497	0.00011456928016843
509109	0.000156932895251482	0.000111893615506142
470993	0.000155947949160619	5.8844136465151e-05
1061772	0.000155940078100437	0.000161003918336459
224539	0.000154966788503975	0.000144960689319645
9562	0.000151611010497634	0.000185742176852514
187297	0.000150676934918736	0.000109341925709062
1033687	0.000147718896628459	0.00018568038244885
531206	0.000147457135395107	0.000159933866551973
353616	0.000147010958065306	0.000133351766026857
570119	0.000140794003760852	0.000176868551732734
484338	0.000140346530188156	5.22633588215191e-05
945061	0.000139707036529828	5.54221075367735e-05
516198	0.0001388748572598	0.000233005003891036
510422	0.000138689435123288	0.000303970262062567
327694	0.000133204989435896	0.000125906990526085
137197	0.000130266307329989	7.55042561833494e-05
103314	0.00011814517473392	6.19791906062899e-05
2222	0.000117218390756373	0.000114871719994564
905211	0.000112547134875143	0.000122801810337282
92535	0.000112448347818076	0.000132804064851577
569584	0.000111608274853896	9.13263655399065e-05
92512	0.000109652750467232	0.000141721890058106
326019	0.000108417267837791	0.000162037573330892
1937180	0.000105285278319806	0.000105665488635632
918255	0.000105061047012979	0.000184316802354514
2185	0.000104326540816433	0.000208792382563567
192142	0.000103500821513928	4.1120690367077e-05
951880	0.000103393571866733	5.39869127613193e-05
152869	0.000102097584369378	0.000106647255149427
922556	9.61658027160726e-05	0.000233855553347609
962249	9.49993123116869e-05	0.000107123919944871
915452	9.45532691012215e-05	5.90682482185881e-05
192133	9.42669821274326e-05	5.33769405438842e-05
391286	9.18262782566079e-05	1.90197793627281e-05
813216	8.82072491303059e-05	8.73795459199334e-05
470807	8.68257351219584e-05	5.18027402906101e-05
1138382	8.5611447289093e-05	5.74856671679417e-05
914329	8.55698953239122e-05	5.8522294178515e-05
530801	8.48236082107608e-05	0.000115105290838574
3746875	8.26102473243184e-05	0.00018304118787479
92629	8.1179221202549e-05	6.74203460429888e-05
346938	8.10088443574413e-05	9.06258194360933e-05
470433	7.85159462718614e-05	2.29006500057687e-05
1037510	7.74253076922414e-05	8.96427265461511e-05
529064	7.69228361061136e-05	4.69625795478032e-05
787362	7.63977573738455e-05	0.000120941675716048
1110594	7.57103562251318e-05	8.53155905539245e-05
1023428	7.4894198920001e-05	3.70465113355585e-05
561036	7.39474060708805e-05	0.00011412389199718
544728	7.13726321257861e-05	0.000198227983163179
1060621	7.13528589118489e-05	0.000179149857309973
542404	7.09126322303097e-05	8.99216096567441e-05
180927	6.93616439703607e-05	0.000178356075947209
3678349	6.82644072869253e-05	9.210042154693e-05
616261	6.79064943897203e-05	5.78908906425585e-05
543306	6.64668964087786e-05	7.47603366767524e-05
