#SampleID	CU	NAU	NCS
NAUMCON06	0.28	0.52	0.2
T20308	0.494	0.39	0.116
T20983	0.526	0.39	0.084
T20793	0.626	0.28	0.094
T21416	0.274	0.39	0.336
T20688	0.484	0.408	0.108
T21044	0.268	0.494	0.238
T20527	0.518	0.374	0.108
T20248	0.32	0.544	0.136
T20726	0.414	0.47	0.116
T20531	0.45	0.426	0.124
T21386	0.308	0.56	0.132
T20358	0.244	0.61	0.146
T20717	0.474	0.428	0.098
T20296	0.28	0.516	0.204
T21174	0.436	0.486	0.078
T20968	0.37	0.508	0.122
T20550	0.172	0.402	0.426
T21590	0.47	0.458	0.072
T20821	0.374	0.536	0.09
T20579	0.346	0.48	0.174
T20397	0.268	0.62	0.112
T21275	0.388	0.424	0.188
T20415	0.254	0.47	0.276
T20515	0.212	0.6	0.188
T20712	0.44	0.416	0.144
T20060	0.338	0.528	0.134
T21122	0.468	0.428	0.104
T21109	0.274	0.58	0.146
T20406	0.328	0.468	0.204
T20643	0.456	0.48	0.064
T20508	0.364	0.498	0.138
T20762	0.47	0.404	0.126
T21318	0.234	0.618	0.148
T20505	0.334	0.524	0.142
T20290	0.368	0.536	0.096
T20228	0.254	0.48	0.266
T21163	0.268	0.456	0.276
T20203	0.33	0.478	0.192
T21423	0.248	0.522	0.23
T20292	0.262	0.568	0.17
T20594	0.434	0.456	0.11
T21182	0.29	0.564	0.146
T21119	0.402	0.476	0.122
T21172	0.188	0.586	0.226
T20884	0.412	0.388	0.2
T20573	0.506	0.374	0.12
T20224	0.224	0.554	0.222
T20222	0.33	0.53	0.14
T21367	0.248	0.542	0.21
T21307	0.384	0.452	0.164
T20986	0.236	0.59	0.174
T21490	0.258	0.46	0.282
T21048	0.424	0.432	0.144
T20791	0.536	0.392	0.072
T20841	0.518	0.396	0.086
T20888	0.448	0.446	0.106
T20340	0.242	0.56	0.198
T20598	0.424	0.418	0.158
T21013	0.296	0.534	0.17
T20676	0.576	0.342	0.082
T20824	0.428	0.418	0.154
T21193	0.358	0.562	0.08
T21010	0.23	0.47	0.3
T21369	0.398	0.516	0.086
T20219	0.424	0.454	0.122
T20830	0.306	0.578	0.116
T21205	0.398	0.544	0.058
T21153	0.376	0.488	0.136
T21191	0.46	0.39	0.15
T21168	0.238	0.622	0.14
T21149	0.424	0.478	0.098
T20691	0.306	0.506	0.188
CUMCON00	0.526	0.39	0.084
T20544	0.382	0.476	0.142
T20916	0.576	0.346	0.078
T20424	0.24	0.518	0.242
T20814	0.438	0.452	0.11
T20417	0.22	0.536	0.244
T20658	0.304	0.514	0.182
T20795	0.464	0.456	0.08
T21302	0.2	0.58	0.22
T20354	0.508	0.402	0.09
T21451	0.34	0.386	0.274
T21314	0.256	0.612	0.132
T20683	0.546	0.368	0.086
T21531	0.476	0.384	0.14
T20840	0.546	0.344	0.11
T21436	0.33	0.386	0.284
T21037	0.198	0.44	0.362
T20478	0.28	0.374	0.346
T21202	0.412	0.508	0.08
T21029	0.22	0.442	0.338
T20600	0.382	0.522	0.096
T20613	0.446	0.458	0.096
T20992	0.308	0.58	0.112
T20438	0.28	0.448	0.272
T20879	0.43	0.452	0.118
T20866	0.464	0.426	0.11
T20759	0.442	0.374	0.184
T20443	0.266	0.442	0.292
T20446	0.31	0.502	0.188
T20229	0.216	0.638	0.146
T20848	0.47	0.432	0.098
T20640	0.276	0.49	0.234
T20693	0.544	0.388	0.068
T20430	0.366	0.444	0.19
T20596	0.604	0.336	0.06
T20532	0.39	0.452	0.158
T20534	0.4	0.46	0.14
T20553	0.504	0.34	0.156
T20660	0.49	0.396	0.114
T21500	0.264	0.39	0.346
T20889	0.404	0.468	0.128
T21479	0.214	0.458	0.328
T20243	0.362	0.458	0.18
T20214	0.528	0.388	0.084
T20315	0.236	0.648	0.116
T20238	0.342	0.566	0.092
T20956	0.28	0.6	0.12
T20483	0.264	0.472	0.264
T21425	0.262	0.458	0.28
T20535	0.562	0.334	0.104
T20900	0.436	0.49	0.074
T20249	0.334	0.53	0.136
T20728	0.458	0.432	0.11
T20514	0.506	0.406	0.088
T20637	0.538	0.404	0.058
T21105	0.394	0.47	0.136
NCSMCON15	0.526	0.364	0.11
T20993	0.27	0.656	0.074
T20617	0.446	0.462	0.092
T20808	0.492	0.41	0.098
T20080	0.168	0.514	0.318
T20545	0.632	0.304	0.064
T20270	0.378	0.518	0.104
T20595	0.352	0.49	0.158
T20928	0.252	0.474	0.274
T20551	0.516	0.37	0.114
T20689	0.304	0.484	0.212
T20336	0.238	0.518	0.244
T20753	0.338	0.446	0.216
T20428	0.3	0.452	0.248
T20350	0.3	0.554	0.146
T20664	0.382	0.452	0.166
T20268	0.364	0.484	0.152
T20784	0.348	0.538	0.114
T20705	0.442	0.418	0.14
T21335	0.512	0.388	0.1
T21495	0.442	0.49	0.068
T20092	0.214	0.334	0.452
T21563	0.408	0.464	0.128
T20209	0.334	0.524	0.142
T20517	0.53	0.396	0.074
T21483	0.264	0.554	0.182
T21494	0.276	0.374	0.35
T21455	0.384	0.444	0.172
T21141	0.316	0.51	0.174
T20963	0.408	0.48	0.112
T20788	0.586	0.35	0.064
T21124	0.304	0.538	0.158
T21133	0.404	0.444	0.152
CUMCON02	0.544	0.398	0.058
T20353	0.384	0.504	0.112
T20909	0.49	0.43	0.08
T21140	0.268	0.552	0.18
T20273	0.53	0.442	0.028
NCSMCON13	0.232	0.51	0.258
CUMCON05	0.33	0.43	0.24
T21330	0.446	0.478	0.076
T21162	0.364	0.498	0.138
T20646	0.44	0.44	0.12
T21131	0.298	0.604	0.098
T20799	0.466	0.45	0.084
T20794	0.51	0.408	0.082
T20957	0.23	0.582	0.188
T21355	0.51	0.442	0.048
T20516	0.606	0.348	0.046
T20947	0.37	0.534	0.096
T21245	0.15	0.766	0.084
T20513	0.558	0.4	0.042
T21088	0.222	0.494	0.284
T20854	0.356	0.478	0.166
T21207	0.356	0.49	0.154
